"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 18 11:16:12 GMT 2024","Wed Dec 18 11:16:36 GMT 2024","24170","","tests_all","TestInvalidClient","","","test_add_product_to_cart",""
"passed","Wed Dec 18 11:15:38 GMT 2024","Wed Dec 18 11:15:59 GMT 2024","20577","","tests_all","TestRemoveItem","","","test_add_product_to_cart",""
"passed","Wed Dec 18 11:15:31 GMT 2024","Wed Dec 18 11:15:38 GMT 2024","6239","","tests_all","TestNavigate","","","test_navigate_back_to_start_page",""
"passed","Wed Dec 18 11:15:59 GMT 2024","Wed Dec 18 11:16:12 GMT 2024","13001","","tests_all","TestInvalidPromo","","","test_add_product_to_cart",""
"broken","Wed Dec 18 11:14:44 GMT 2024","Wed Dec 18 11:14:58 GMT 2024","14436","","tests_all","TestAddToCart","","","test_add_product_to_cart",""
"passed","Wed Dec 18 11:14:58 GMT 2024","Wed Dec 18 11:15:07 GMT 2024","8313","","tests_all","TestAddToCart","","","test_add_products_to_cart",""
"passed","Wed Dec 18 11:15:07 GMT 2024","Wed Dec 18 11:15:31 GMT 2024","24019","","tests_all","TestValueAddress","","","test_value_address",""
